Hour,Minute,Second,millisecond,Pump,Action
14,16,40,567,Pump 0,"Set Diameter 29.2, response: 04:"
14,16,40,668,Pump 0,"Set Infuse Rate 3 mL/min, response: 04:"
14,16,40,768,Pump 0,"Set Diameter 29.2, response: :"
14,16,40,869,Pump 0,"Set Infuse Rate 3 mL/min, response: :"
14,16,40,869,Pump 0,Run
14,16,40,869,Valve 0,Open
14,16,40,869,Valve 2,Open
14,16,40,971,Pump 0,Pump 0 Run Response: 04>
14,16,45,622,Pump 0,Stop
14,16,45,623,Pump 1,Run
14,16,45,624,Valve 0,Close
14,16,45,624,Valve 1,Open
14,16,45,624,Valve 2,Close
14,16,45,625,Valve 3,Open
14,16,45,729,Pump 0,"Pump 0 Stop Response: 04:
04>"
14,16,45,729,Pump 1,Pump 1 Run Response: >
14,16,53,543,Pump 1,Stop
14,16,53,544,Pump 0,Run
14,16,53,544,Valve 0,Open
14,16,53,545,Valve 0,Close
14,16,53,545,Valve 1,Close
14,16,53,545,Valve 2,Open
14,16,53,545,Valve 2,Close
14,16,53,545,Valve 3,Close
14,16,53,647,Pump 1,Pump 1 Stop Response: :
14,16,53,647,Pump 0,Pump 0 Run Response: 04>
14,16,58,292,Pump 0,Stop
14,16,58,292,Pump 1,Run
14,16,58,293,Valve 1,Open
14,16,58,293,Valve 1,Close
14,16,58,293,Valve 3,Open
14,16,58,293,Valve 3,Close
14,16,58,395,Pump 0,"Pump 0 Stop Response: 04:
04>"
14,16,58,395,Pump 1,Pump 1 Run Response: >
14,17,6,210,Pump 1,Stop
14,17,6,210,Pump 0,Run
14,17,6,211,Valve 0,Open
14,17,6,211,Valve 0,Close
14,17,6,211,Valve 2,Open
14,17,6,211,Valve 2,Close
14,17,6,313,Pump 1,Pump 1 Stop Response: :
14,17,6,313,Pump 0,Pump 0 Run Response: 04>
14,17,10,958,Pump 0,Stop
14,17,10,958,Pump 1,Run
14,17,10,959,Valve 1,Open
14,17,10,959,Valve 1,Close
14,17,10,959,Valve 3,Open
14,17,10,959,Valve 3,Close
14,17,11,61,Pump 0,"Pump 0 Stop Response: 04:
04>"
14,17,11,61,Pump 1,Pump 1 Run Response: >
14,17,18,874,Pump 1,Stop
14,17,18,875,Pump 0,Run
14,17,18,875,Valve 0,Open
14,17,18,875,Valve 0,Close
14,17,18,876,Valve 2,Open
14,17,18,876,Valve 2,Close
14,17,18,981,Pump 1,Pump 1 Stop Response: :
14,17,18,981,Pump 0,Pump 0 Run Response: 04>
14,17,23,627,Pump 0,Stop
14,17,23,628,Pump 1,Run
14,17,23,628,Valve 1,Open
14,17,23,628,Valve 1,Close
14,17,23,628,Valve 3,Open
14,17,23,628,Valve 3,Close
14,17,23,729,Pump 0,"Pump 0 Stop Response: 04:
04>"
14,17,23,729,Pump 1,Pump 1 Run Response: >
14,17,31,543,Pump 1,Stop
14,17,31,544,Pump 0,Run
14,17,31,544,Valve 0,Open
14,17,31,544,Valve 0,Close
14,17,31,544,Valve 2,Open
14,17,31,544,Valve 2,Close
14,17,31,646,Pump 1,Pump 1 Stop Response: :
14,17,31,646,Pump 0,Pump 0 Run Response: 04>
14,17,36,293,Pump 0,Stop
14,17,36,294,Pump 1,Run
14,17,36,294,Valve 1,Open
14,17,36,295,Valve 1,Close
14,17,36,295,Valve 3,Open
14,17,36,295,Valve 3,Close
14,17,36,397,Pump 0,"Pump 0 Stop Response: 04:
04>"
14,17,36,397,Pump 1,Pump 1 Run Response: >
14,17,40,879,Pump 0,Stop
14,17,40,880,Pump 1,Stop
