Hour,Minute,Second,millisecond,Pump,Action
14,5,8,353,Pump 0,"Set Diameter 29.2, response: 04:"
14,5,8,453,Pump 0,"Set Infuse Rate 3 mL/min, response: 04:"
14,5,8,554,Pump 0,"Set Diameter 29.2, response: :"
14,5,8,654,Pump 0,"Set Infuse Rate 3 mL/min, response: :"
14,5,8,655,Pump 0,Run
14,5,8,655,Valve 0,Open
14,5,8,655,Valve 2,Open
14,5,8,756,Pump 0,Pump 0 Run Response: 04>
14,5,13,407,Pump 0,Stop
14,5,13,407,Pump 1,Run
14,5,13,407,Valve 0,Close
14,5,13,407,Valve 1,Open
14,5,13,407,Valve 2,Close
14,5,13,407,Valve 3,Open
14,5,13,509,Pump 0,"Pump 0 Stop Response: 04:
04>"
14,5,13,509,Pump 1,Pump 1 Run Response: >
14,5,21,330,Pump 1,Stop
14,5,21,331,Pump 0,Run
14,5,21,331,Valve 0,Open
14,5,21,332,Valve 0,Close
14,5,21,332,Valve 1,Close
14,5,21,332,Valve 2,Open
14,5,21,332,Valve 2,Close
14,5,21,332,Valve 3,Close
14,5,21,424,Pump 1,Pump 1 Stop Response: :
14,5,21,424,Pump 0,Pump 0 Run Response: 04>
14,5,26,75,Pump 0,Stop
14,5,26,75,Pump 1,Run
14,5,26,75,Valve 1,Open
14,5,26,75,Valve 1,Close
14,5,26,75,Valve 3,Open
14,5,26,75,Valve 3,Close
14,5,26,176,Pump 0,"Pump 0 Stop Response: 04:
04>"
14,5,26,177,Pump 1,Pump 1 Run Response: >
14,5,33,997,Pump 1,Stop
14,5,33,998,Pump 0,Run
14,5,33,998,Valve 0,Open
14,5,33,998,Valve 0,Close
14,5,33,999,Valve 2,Open
14,5,33,999,Valve 2,Close
14,5,34,92,Pump 1,Pump 1 Stop Response: :
14,5,34,92,Pump 0,Pump 0 Run Response: 04>
14,5,38,745,Pump 0,Stop
14,5,38,746,Pump 1,Run
14,5,38,746,Valve 1,Open
14,5,38,746,Valve 1,Close
14,5,38,747,Valve 3,Open
14,5,38,747,Valve 3,Close
14,5,38,849,Pump 0,"Pump 0 Stop Response: 04:
04>"
14,5,38,849,Pump 1,Pump 1 Run Response: >
14,5,46,660,Pump 1,Stop
14,5,46,660,Pump 0,Run
14,5,46,661,Valve 0,Open
14,5,46,661,Valve 0,Close
14,5,46,661,Valve 2,Open
14,5,46,661,Valve 2,Close
14,5,46,764,Pump 1,Pump 1 Stop Response: :
14,5,46,764,Pump 0,Pump 0 Run Response: 04>
14,5,51,416,Pump 0,Stop
14,5,51,417,Pump 1,Run
14,5,51,418,Valve 1,Open
14,5,51,418,Valve 1,Close
14,5,51,418,Valve 3,Open
14,5,51,418,Valve 3,Close
14,5,51,511,Pump 0,"Pump 0 Stop Response: 04:
04>"
14,5,51,511,Pump 1,Pump 1 Run Response: >
14,5,59,334,Pump 1,Stop
14,5,59,335,Pump 0,Run
14,5,59,336,Valve 0,Open
14,5,59,336,Valve 0,Close
14,5,59,336,Valve 2,Open
14,5,59,336,Valve 2,Close
14,5,59,429,Pump 1,Pump 1 Stop Response: :
14,5,59,429,Pump 0,Pump 0 Run Response: 04>
14,6,4,81,Pump 0,Stop
14,6,4,82,Pump 1,Run
14,6,4,82,Valve 1,Open
14,6,4,82,Valve 1,Close
14,6,4,83,Valve 3,Open
14,6,4,83,Valve 3,Close
14,6,4,185,Pump 0,"Pump 0 Stop Response: 04:
04>"
14,6,4,185,Pump 1,Pump 1 Run Response: >
14,6,8,665,Pump 0,Stop
14,6,8,666,Pump 1,Stop
